Player,BirthDate,BirthCity,BirthState,HighSchoolCity,HighSchoolState,College,BirthLat,BirthLong,HSLat,HSLong,CollegeNameGood,CollegeLat,CollegeLong
Adam Morrison,"July 19, 1984",Glendive,Montana,Spokane,Washington,Gonzaga University,47.1294,-104.8734,47.6567,-117.3785,Gonzaga University,47.66573,-117.40244
Adonal Foyle,"March 9, 1975",Canouan,Saint Vincent and the Grenadines,Hamilton,New York,Colgate University,,,42.8175,-75.5483,Colgate University,42.81729,-75.53573
Adonis Jordan,"August 21, 1970",New York,New York,Los Angeles,California,University of Kansas,40.8424,-73.8556,34.0396,-118.2661,University of Kansas,38.8134,-97.60949
Adonis Thomas,"March 25, 1993",Memphis,Tennessee,Memphis,Tennessee,University of Memphis,35.185,-90.0936,35.185,-90.0936,University of Memphis,35.1187,-89.93731
Adrian Branch,"November 17, 1963",Washington,District of Columbia,Hyattsville,Maryland,University of Maryland,38.8749,-77.0325,38.9545,-76.9443,University of Maryland,39.32898,-76.62057
Adrian Caldwell,"July 4, 1966",Marlin,Texas,Corpus Christi,Texas,Lamar University,31.3081,-96.8931,27.7479,-97.4435,Lamar University,29.87938,-93.92684
Adrian Dantley,"February 28, 1956",Washington,District of Columbia,Hyattsville,Maryland,University of Notre Dame,38.8749,-77.0325,38.9545,-76.9443,University of Notre Dame,41.7031,-86.23917
Adrian Griffin,"July 4, 1974",Wichita,Kansas,Wichita,Kansas,Seton Hall University,37.7083,-97.2251,37.7083,-97.2251,Seton Hall University,40.7426,-74.24737
Adrian Smith,"October 5, 1936",Farmington,Kentucky,Farmington,Kentucky,University of Kentucky,36.6037,-88.5031,36.6037,-88.5031,University of Kentucky,38.03036,-84.49938
Al-Farouq Aminu,"September 21, 1990",Atlanta,Georgia,Norcross,Georgia,Wake Forest University,33.8477,-84.2814,33.9681,-84.2304,Wake Forest University,36.13347,-80.27727
Al Attles,"November 7, 1936",Newark,New Jersey,Newark,New Jersey,North Carolina Agricultural and Technical State University,40.7211,-74.14699999999999,40.7211,-74.14699999999999,North Carolina Agricultural and Technical State University,36.07264,-79.79198000000001
Al Beard,"April 27, 1942",Fort Valley,Georgia,Fort Valley,Georgia,Norfolk State University,32.5724,-83.8921,32.5724,-83.8921,Norfolk State University,42.3505,-71.1072
Al Bianchi,"March 26, 1932",New York,New York,none,none,Bowling Green State University,40.8424,-73.8556,,,Bowling Green State University,41.37589,-83.63966
Al Brightman,"September 22, 1923",none,none,Long Beach,California,University of Charleston,,,33.7542,-118.2019,University of Charleston,32.98129,-80.0725
Al Butler,"July 9, 1938",Rochester,New York,Rochester,New York,Niagara University,43.1493,-77.5081,43.1493,-77.5081,Niagara University,43.13867,-79.03893
Al Carlson,"September 17, 1951",Oceanside,California,Garden Grove,California,University of Oregon,33.2004,-117.2907,33.7877,-117.9738,University of Oregon,44.04598,-123.07046
Al Cervi,"February 12, 1917",Buffalo,New York,Buffalo,New York,none,42.9864,-78.7279,42.9864,-78.7279,,,
Al Cueto,"August 2, 1946",Havana,Cuba,Coral Gables,Florida,University of Tulsa,40.2931,-90.0222,25.7541,-80.271,University of Tulsa,36.15013,-95.94691
Al Eberhard,"May 10, 1952",Cedar Rapids,Iowa,Springville,Iowa,University of Missouri,41.9106,-91.7142,42.0638,-91.4476,University of Missouri,38.94587,-92.32768
Al Ferrari,"July 6, 1933",New York,New York,New York,New York,Michigan State University,40.8424,-73.8556,40.8424,-73.8556,Michigan State University,42.84031,-84.47982
Al Fleming,"April 5, 1954",Chicago,Illinois,none,none,University of Arizona,41.9288,-87.6315,,,University of Arizona,32.23188,-110.95347
Al Guokas,"August 7, 1925",none,none,Philadelphia,Pennsylvania,Saint Joseph's University,,,39.9524,-75.1653,Saint Joseph's University,41.70522,-86.23597
Al Hairston,"December 11, 1945",none,none,Mount Clemens,Michigan,Bowling Green State University,,,42.5973,-82.87799999999999,Bowling Green State University,41.37589,-83.63966
Al Harrington,"February 17, 1980",Orange,New Jersey,Elizabeth,New Jersey,none,40.7709,-74.2369,40.6728,-74.179,,,
Al Henry,"February 9, 1949",none,none,Memphis,Tennessee,University of Wisconsin,,,35.185,-90.0936,University of Wisconsin,43.07388,-89.41095
Al Horford,"June 3, 1986",Puerto Plata,Dominican Republic,Grand Ledge,Michigan,University of Florida,19.8,-70.6833,42.7512,-84.7691,University of Florida,28.0692,-82.43609
Al Jackson,"July 29, 1943",Cleveland,Ohio,Cleveland,Ohio,Wilberforce University,41.4379,-81.5366,41.4379,-81.5366,Wilberforce University,39.71867,-83.88048
Al Jefferson,"January 4, 1985",Monticello,Mississippi,Prentiss,Mississippi,none,31.5692,-90.1097,31.6145,-89.8271,,,
Al Lucas,"July 4, 1922",none,none,none,none,Fordham University,,,,,Fordham University,40.86121,-73.88597
Al Lujack,"October 5, 1920",none,none,Connellsville,Pennsylvania,none,,,40.0306,-79.539,,,
Al Masino,"February 5, 1928",none,none,none,none,Canisius College,,,,,Canisius College,42.92534,-78.85254
Al Miksis,"February 2, 1928",none,none,none,none,Western Illinois University,,,,,Western Illinois University,40.46421,-90.68374
Al Negratti,"June 12, 1921",none,none,none,none,Seton Hall University,,,,,Seton Hall University,40.7426,-74.24737
Al Roges,"October 25, 1930",none,none,none,none,Long Island University,,,,,Long Island University,40.69061,-73.99764
Al Salvadori,"May 6, 1945",Wheeling,West Virginia,Wheeling,West Virginia,University of South Carolina,40.0582,-80.6362,40.0582,-80.6362,University of South Carolina,33.7938,-79.0132
Al Sanders,"January 1, 1950",Baton Rouge,Louisiana,Baton Rouge,Louisiana,Louisiana State University,30.4386,-91.1703,30.4386,-91.1703,Louisiana State University,29.93987,-90.11954
Al Skinner,"June 16, 1952",Mount Vernon,New York,Malverne,New York,University of Massachusetts Amherst,40.9083,-73.8346,40.6747,-73.6726,University of Massachusetts Amherst,42.3895,-72.5281
Al Smith,"January 15, 1947",Peoria,Illinois,Peoria,Illinois,Bradley University,40.6999,-89.5951,40.6999,-89.5951,Bradley University,40.69809,-89.61704
Al Thornton,"December 7, 1983",Perry,Georgia,Perry,Georgia,Florida State University,32.4355,-83.7267,32.4355,-83.7267,Florida State University,28.0692,-82.43609
Al Tucker,"February 24, 1943",Dayton,Ohio,Dayton,Ohio,Oklahoma Baptist University,39.833,-84.2177,39.833,-84.2177,Oklahoma Baptist University,35.36093,-96.93477
Al Williams,"February 3, 1948",none,none,none,none,Drake University,,,,,Drake University,41.60134,-93.65214
Al Wood,"June 2, 1958",Gray,Georgia,Gray,Georgia,University of North Carolina,33.0161,-83.571,33.0161,-83.571,University of North Carolina,36.00153,-78.94001
Alaa Abdelnaby,"June 24, 1968",Cairo,Egypt,Bloomfield,New Jersey,Duke University,30.0771,31.2859,40.8086,-74.1869,Duke University,36.00153,-78.94001
Alan Anderson,"October 16, 1982",Minneapolis,Minnesota,Minneapolis,Minnesota,Michigan State University,45.0059,-93.4305,45.0059,-93.4305,Michigan State University,42.84031,-84.47982
Alan Hardy,"May 25, 1957",Detroit,Michigan,Detroit,Michigan,University of Michigan,42.3679,-83.1386,42.3679,-83.1386,University of Michigan,42.84031,-84.47982
Alan Henderson,"December 2, 1972",Indianapolis,Indiana,Indianapolis,Indiana,Indiana University,39.793,-86.2853,39.793,-86.2853,Indiana University,40.41226,-86.93668
Alan Ogg,"July 5, 1967",Lancaster,Ohio,Gardendale,Alabama,University of Alabama at Birmingham,39.6878,-82.6046,33.7061,-86.8238,University of Alabama at Birmingham,33.50483,-86.79999
Alan Sawyer,"January 1, 1928",none,none,none,none,"University of California, Los Angeles",,,,,"University of California, Los Angeles",34.02051,-118.28563
Alando Tucker,"February 11, 1984",Lockport,Illinois,Lockport,Illinois,University of Wisconsin,41.6045,-87.9956,41.6045,-87.9956,University of Wisconsin,43.07388,-89.41095
Albert King,"December 17, 1959",New York,New York,New York,New York,University of Maryland,40.8424,-73.8556,40.8424,-73.8556,University of Maryland,39.32898,-76.62057
Alec Burks,"July 20, 1991",Grandview,Missouri,Grandview,Missouri,University of Colorado,38.8758,-94.5259,38.8758,-94.5259,University of Colorado,40.00915,-105.26902
Alec Kessler,"January 13, 1967",Minneapolis,Minnesota,Roswell,Georgia,University of Georgia,45.0059,-93.4305,34.056,-84.3795,University of Georgia,33.95206,-83.37394
Aleksandar Djordjevic,"August 26, 1967",Belgrade,Serbia,none,none,none,45.9666,-111.1124,,,,,
Aleksandar Radojevic,"August 8, 1976",Herceg Novi,Montenegro,none,none,Barton County Community College,42.453,18.5312,,,Barton County Community College,38.40451,-98.73237
Alex Acker,"January 21, 1983",Compton,California,Rialto,California,Pepperdine University,33.8748,-118.2406,34.102,-117.3868,Pepperdine University,34.04106,-118.70828
Alex Blackwell,"June 27, 1970",Toms River,New Jersey,Mouth of Wilson,Virginia,Monmouth University,40.004,-74.2258,36.5894,-81.3364,Monmouth University,40.27811,-74.00653
Alex Bradley,"October 30, 1959",Bradenton,Florida,Long Branch,New Jersey,Villanova University,27.4138,-82.3698,40.2944,-73.9932,Villanova University,40.03817,-75.34463
Alex English,"January 5, 1954",Columbia,South Carolina,Columbia,South Carolina,University of South Carolina,34.0988,-81.0612,34.0988,-81.0612,University of South Carolina,33.7938,-79.0132
Alex Garcia,"March 4, 1980",Orlandia,Brazil,none,none,none,-20.7167,-47.8833,,,,,
Alex Groza,"October 7, 1926",Martins Ferry,Ohio,Martins Ferry,Ohio,University of Kentucky,40.1205,-80.7578,40.1205,-80.7578,University of Kentucky,38.03036,-84.49938
Alex Hannum,"July 19, 1923",Los Angeles,California,Los Angeles,California,University of Southern California,34.0396,-118.2661,34.0396,-118.2661,University of Southern California,34.0218,-118.28664
Alex Len,"June 16, 1993",Antratsit,Ukraine,none,none,University of Maryland,48.115,39.0913,,,University of Maryland,39.32898,-76.62057
Alex Scales,"July 3, 1978",Racine,Wisconsin,Racine,Wisconsin,University of Oregon,42.6929,-87.8043,42.6929,-87.8043,University of Oregon,44.04598,-123.07046
Alex Stivrins,"November 29, 1962",Lincoln,Nebraska,Lincoln,Nebraska,University of Colorado,40.8176,-96.7114,40.8176,-96.7114,University of Colorado,40.00915,-105.26902
Alexander Johnson,"February 8, 1983",Albany,Georgia,Albany,Georgia,Florida State University,31.5983,-84.2127,31.5983,-84.2127,Florida State University,28.0692,-82.43609
Alexander Volkov,"March 28, 1964",Omsk,Russian Federation,none,none,none,55.0,73.4,,,,,
Alexey Shved,"December 16, 1988",Belgorod,Russian Federation,none,none,none,50.6107,36.5802,,,,,
Alexis Ajinca,"May 6, 1988",Saint-Etienne,France,none,none,none,46.7,5.05,,,,,
Alfred McGuire,"September 7, 1928",New York,New York,New York,New York,St. John's University,40.8424,-73.8556,40.8424,-73.8556,St. John's University,45.58333,-94.39167
Alfredrick Hughes,"July 19, 1962",Chicago,Illinois,Chicago,Illinois,Loyola University of Chicago,41.9288,-87.6315,41.9288,-87.6315,Loyola University of Chicago,42.00059,-87.65811
Allan Bristow,"August 23, 1951",Richmond,Virginia,Richmond,Virginia,Virginia Polytechnic Institute and State University,37.4677,-77.59,37.4677,-77.59,Virginia Polytechnic Institute and State University,37.22923,-80.42397
Allan Houston,"April 20, 1971",Louisville,Kentucky,Louisville,Kentucky,University of Tennessee,38.0858,-85.8495,38.0858,-85.8495,University of Tennessee,36.14811,-86.80305
Allan Ray,"June 17, 1984",New York,New York,New York,New York,Villanova University,40.8424,-73.8556,40.8424,-73.8556,Villanova University,40.03817,-75.34463
Allen Crabbe,"April 9, 1992",Los Angeles,California,Los Angeles,California,University of California,34.0396,-118.2661,34.0396,-118.2661,University of California,38.53232,-121.78855
Allen Iverson,"June 7, 1975",Hampton,Virginia,Hampton,Virginia,Georgetown University,37.0627,-76.4052,37.0627,-76.4052,Georgetown University,38.90727,-77.07258
Allen Leavell,"May 27, 1957",Muncie,Indiana,Muncie,Indiana,Oklahoma City University,40.2369,-85.4679,40.2369,-85.4679,Oklahoma City University,35.49437,-97.53963
Allen Murphy,"July 15, 1952",Birmingham,Alabama,Birmingham,Alabama,University of Louisville,33.4468,-86.7404,33.4468,-86.7404,University of Louisville,38.21507,-85.75913
Allie McGuire,"July 10, 1951",New York,New York,none,none,Marquette University,40.8424,-73.8556,,,Marquette University,46.55694,-87.40139
Alonzo Bradley,"October 16, 1953",Utica,Mississippi,Utica,Mississippi,Texas Southern University,32.0824,-90.6292,32.0824,-90.6292,Texas Southern University,29.72356,-95.36577
Alonzo Gee,"May 29, 1987",Riviera Beach,Florida,Palm Beach Gardens,Florida,University of Alabama,26.78,-80.0672,26.8457,-80.0902,University of Alabama,33.20944,-87.54149
Alonzo Mourning,"February 8, 1970",Chesapeake,Virginia,Chesapeake,Virginia,Georgetown University,36.7646,-76.199,36.7646,-76.199,Georgetown University,38.90727,-77.07258
Alphonso Ford,"October 31, 1971",Greenwood,Mississippi,Greenwood,Mississippi,Mississippi Valley State University,33.5236,-90.1405,33.5236,-90.1405,Mississippi Valley State University,33.51512,-90.3387
Alton Ford,"May 29, 1981",Houston,Texas,Houston,Texas,University of Houston,29.8688,-95.538,29.8688,-95.538,University of Houston,29.72081,-95.34335
Alton Lister,"October 1, 1958",Dallas,Texas,Dallas,Texas,Arizona State University,32.7825,-96.8207,32.7825,-96.8207,Arizona State University,32.23188,-110.95347
Alvan Adams,"July 19, 1954",Lawrence,Kansas,Warr Acres,Oklahoma,University of Oklahoma,38.8916,-95.3418,35.5269,-97.6181,University of Oklahoma,35.19804,-97.44459
Alvin Heggs,"December 12, 1967",Jacksonville,Florida,Jacksonville,Florida,University of Texas at Austin,30.3533,-81.499,30.3533,-81.499,University of Texas at Austin,30.26715,-97.74306
Alvin Jones,"September 9, 1978",Luxembourg,Luxembourg,Lakeland,Florida,Georgia Institute of Technology,49.7528,6.1694,28.0407,-81.9043,Georgia Institute of Technology,33.77233,-84.39456
Alvin Robertson,"July 22, 1962",Barberton,Ohio,Barberton,Ohio,University of Arkansas,41.0232,-81.628,41.0232,-81.628,University of Arkansas,36.06869,-94.17215
Alvin Scott,"September 14, 1955",Cleveland,Tennessee,Cleveland,Tennessee,Oral Roberts University,35.0978,-84.9115,35.0978,-84.9115,Oral Roberts University,36.0507,-95.95422
Alvin Sims,"October 18, 1974",Paris,Kentucky,Paris,Kentucky,University of Louisville,38.2133,-84.2256,38.2133,-84.2256,University of Louisville,38.21507,-85.75913
Alvin Williams,"August 6, 1974",Philadelphia,Pennsylvania,Philadelphia,Pennsylvania,Villanova University,39.9524,-75.1653,39.9524,-75.1653,Villanova University,40.03817,-75.34463
Amal McCaskill,"October 28, 1973",Maywood,Illinois,Westchester,Illinois,Marquette University,41.8813,-87.8441,41.8487,-87.8921,Marquette University,46.55694,-87.40139
Amar'e Stoudemire,"November 16, 1982",Lake Wales,Florida,Orlando,Florida,none,27.8934,-81.5825,28.5883,-81.2439,,,
Amir Johnson,"May 1, 1987",Los Angeles,California,Los Angeles,California,none,34.0396,-118.2661,34.0396,-118.2661,,,
Anderson Varejao,"September 28, 1982",Santa Teresa,Brazil,none,none,none,31.945999999999998,-106.8082,,,,,
Andrae Patterson,"November 12, 1975",Riverside,California,Abilene,Texas,Indiana University,33.9936,-117.3832,32.3418,-99.9414,Indiana University,40.41226,-86.93668
Andray Blatche,"August 22, 1986",Syracuse,New York,South Kent,Connecticut,none,43.0347,-76.0729,41.7081,-73.4191,,,
Andre Barrett,"February 21, 1982",New York,New York,New York,New York,Seton Hall University,40.8424,-73.8556,40.8424,-73.8556,Seton Hall University,40.7426,-74.24737
Andre Brown,"May 12, 1981",Chicago,Illinois,Chicago,Illinois,DePaul University,41.9288,-87.6315,41.9288,-87.6315,DePaul University,41.92281,-87.65311
Andre Drummond,"August 10, 1993",Mount Vernon,New York,Oakdale,Connecticut,University of Connecticut,40.9083,-73.8346,41.4652,-72.1886,University of Connecticut,41.31121,-72.92649
Andre Emmett,"August 27, 1982",Dallas,Texas,Dallas,Texas,Texas Tech University,32.7825,-96.8207,32.7825,-96.8207,Texas Tech University,33.59231,-101.88795
Andre Iguodala,"January 28, 1984",Springfield,Illinois,Springfield,Illinois,University of Arizona,39.8011,-89.6502,39.8011,-89.6502,University of Arizona,32.23188,-110.95347
Andre McCarter,"August 25, 1953",Philadelphia,Pennsylvania,Philadelphia,Pennsylvania,"University of California, Los Angeles",39.9524,-75.1653,39.9524,-75.1653,"University of California, Los Angeles",34.02051,-118.28563
Andre Miller,"March 19, 1976",Los Angeles,California,Los Angeles,California,University of Utah,34.0396,-118.2661,34.0396,-118.2661,University of Utah,40.76495,-111.84855
Andre Moore,"July 2, 1964",Chicago,Illinois,Chicago,Illinois,Loyola University of Chicago,41.9288,-87.6315,41.9288,-87.6315,Loyola University of Chicago,42.00059,-87.65811
Andre Owens,"October 31, 1980",Indianapolis,Indiana,Indianapolis,Indiana,University of Houston,39.793,-86.2853,39.793,-86.2853,University of Houston,29.72081,-95.34335
Andre Roberson,"December 4, 1991",Las Cruces,New Mexico,San Antonio,Texas,University of Colorado,32.3047,-106.6417,29.4244,-98.4842,University of Colorado,40.00915,-105.26902
Andre Spencer,"July 20, 1964",Stockton,California,Los Angeles,California,Northern Arizona University,37.9011,-121.3995,34.0396,-118.2661,Northern Arizona University,35.19001,-111.65822
Andre Turner,"December 13, 1964",Memphis,Tennessee,Memphis,Tennessee,University of Memphis,35.185,-90.0936,35.185,-90.0936,University of Memphis,35.1187,-89.93731
Andre Wakefield,"January 11, 1955",Chicago,Illinois,Chicago,Illinois,Loyola University of Chicago,41.9288,-87.6315,41.9288,-87.6315,Loyola University of Chicago,42.00059,-87.65811
Andrea Bargnani,"October 26, 1985",Rome,Italy,none,none,none,43.2289,-75.4084,,,,,
Andreas Glyniadakis,"August 21, 1981",Chania,Greece,none,none,none,35.5167,24.0167,,,,,
Andrei Kirilenko,"February 18, 1981",Izhevsk,Russian Federation,Saint Petersburg,Russian Federation,none,56.8498,53.2045,27.7207,-82.7376,,,
Andres Guibert,"October 28, 1968",Havana,Cuba,Havana,Cuba,none,40.2931,-90.0222,40.2931,-90.0222,,,
Andres Nocioni,"November 30, 1979",Santa Fe,Argentina,none,none,none,35.7847,-105.8749,,,,,
Andrew Anderson,"July 6, 1945",Buffalo,New York,none,none,Canisius College,42.9864,-78.7279,,,Canisius College,42.92534,-78.85254
Andrew Bogut,"November 28, 1984",Melbourne,Australia,Melbourne,Australia,University of Utah,28.0782,-80.7534,28.0782,-80.7534,University of Utah,40.76495,-111.84855
Andrew Bynum,"October 27, 1987",Plainsboro,New Jersey,Metuchen,New Jersey,none,40.3289,-74.5857,40.5411,-74.3632,,,
Andrew DeClercq,"February 1, 1973",Detroit,Michigan,Clearwater,Florida,University of Florida,42.3679,-83.1386,27.9839,-82.7181,University of Florida,28.0692,-82.43609
Andrew Gaze,"July 24, 1965",Melbourne,Australia,Melbourne,Australia,Seton Hall University,28.0782,-80.7534,28.0782,-80.7534,Seton Hall University,40.7426,-74.24737
Andrew Goudelock,"December 7, 1988",Gainesville,Georgia,Stone Mountain,Georgia,College of Charleston,34.3138,-83.8095,33.7844,-84.2135,College of Charleston,32.7838,-79.9373
Andrew Lang,"June 28, 1966",Pine Bluff,Arkansas,Pine Bluff,Arkansas,University of Arkansas,34.1805,-91.9095,34.1805,-91.9095,University of Arkansas,36.06869,-94.17215
Andrew Levane,"April 11, 1920",New York,New York,New York,New York,St. John's University,40.8424,-73.8556,40.8424,-73.8556,St. John's University,45.58333,-94.39167
Andrew Nicholson,"December 8, 1989",Mississauga,Canada,Mississauga,Canada,St. Bonaventure University,43.6,-79.65,43.6,-79.65,St. Bonaventure University,42.07979,-78.48252
Andrew Toney,"November 23, 1957",Birmingham,Alabama,Birmingham,Alabama,University of Louisiana at Lafayette,33.4468,-86.7404,33.4468,-86.7404,University of Louisiana at Lafayette,30.2156,-92.01891
Andris Biedrins,"April 2, 1986",Riga,Latvia,Riga,Latvia,none,56.95,24.1,56.95,24.1,,,
Andy Duncan,"April 17, 1922",none,none,none,none,College of William & Mary,,,,,College of William & Mary,37.2707,-76.70746
Andy Johnson,"November 8, 1932",Los Angeles,California,North Hollywood,California,University of Portland,34.0396,-118.2661,34.1683,-118.37299999999999,University of Portland,45.57277,-122.72669
Andy Kostecka,"February 10, 1921",none,none,Bloomfield,New Jersey,Georgetown University,,,40.8086,-74.1869,Georgetown University,38.90727,-77.07258
Andy O'Donnell,"March 10, 1925",none,none,none,none,Loyola College in Maryland,,,,,Loyola College Maryland,39.29038,-76.61219
Andy Panko,"November 27, 1977",Harrisburg,Pennsylvania,Harrisburg,Pennsylvania,Lebanon Valley College,40.2762,-76.7889,40.2762,-76.7889,Lebanon Valley College,40.3312,-76.51358
Andy Phillip,"March 7, 1922",Granite City,Illinois,Granite City,Illinois,University of Illinois at Urbana-Champaign,38.7328,-90.1072,38.7328,-90.1072,University of Illinois at Urbana-Champaign,40.11642,-88.24338
Andy Rautins,"November 2, 1986",Syracuse,New York,DeWitt,New York,Syracuse University,43.0347,-76.0729,43.0544,-76.0792,Syracuse University,43.03784,-76.13465
Andy Tonkovich,"November 1, 1922",none,none,none,none,Marshall University,,,,,Marshall University,38.4232,-82.43084
Andy Toolson,"January 19, 1966",Chicago,Illinois,Twin Falls,Idaho,Brigham Young University,41.9288,-87.6315,42.4199,-114.5915,Brigham Young University,40.24579,-111.65103
Andy Walker,"March 25, 1955",New York,New York,none,none,Niagara University,40.8424,-73.8556,,,Niagara University,43.13867,-79.03893
Anfernee Hardaway,"July 18, 1971",Memphis,Tennessee,Memphis,Tennessee,University of Memphis,35.185,-90.0936,35.185,-90.0936,University of Memphis,35.1187,-89.93731
Angelo Musi,"July 25, 1918",none,none,none,none,Temple University,,,,,Temple University,39.98095,-75.15296
Ansley Truitt,"August 24, 1950",West Point,Georgia,San Francisco,California,University of California,32.847,-85.0837,37.7312,-122.3826,University of California,38.53232,-121.78855
Ansu Sesay,"July 29, 1976",Greensboro,North Carolina,Houston,Texas,University of Mississippi,36.0074,-79.8732,29.8688,-95.538,University of Mississippi,34.38238,-89.53988
Antawn Jamison,"June 12, 1976",Shreveport,Louisiana,Charlotte,North Carolina,University of North Carolina,32.6188,-93.8852,35.1232,-80.9343,University of North Carolina,36.00153,-78.94001
Anthony Avent,"October 18, 1969",Rocky Mount,North Carolina,Newark,New Jersey,Seton Hall University,35.9216,-77.7315,40.7211,-74.14699999999999,Seton Hall University,40.7426,-74.24737
Anthony Bennett,"March 14, 1993",Toronto,Canada,Henderson,Nevada,"University of Nevada, Las Vegas",40.4903,-80.6709,36.0312,-115.0739,"University of Nevada, Las Vegas",36.10775,-115.14167
Anthony Bonner,"June 8, 1968",St. Louis,Missouri,St. Louis,Missouri,Saint Louis University,38.6272,-90.1978,38.6272,-90.1978,Saint Louis University,38.63533,-90.23372
Anthony Bowie,"November 9, 1963",Tulsa,Oklahoma,Tulsa,Oklahoma,University of Oklahoma,36.0492,-96.0712,36.0492,-96.0712,University of Oklahoma,35.19804,-97.44459
Anthony Carter,"June 16, 1975",Milwaukee,Wisconsin,Atlanta,Georgia,University of Hawaii,43.0434,-87.8945,33.8477,-84.2814,University of Hawaii,19.70667,-155.08278
Anthony Cook,"March 19, 1967",Los Angeles,California,Van Nuys,California,University of Arizona,34.0396,-118.2661,34.2023,-118.4468,University of Arizona,32.23188,-110.95347
Anthony Davis,"March 11, 1993",Chicago,Illinois,Chicago,Illinois,University of Kentucky,41.9288,-87.6315,41.9288,-87.6315,University of Kentucky,38.03036,-84.49938
Anthony Frederick,"December 7, 1964",Los Angeles,California,Gardena,California,Pepperdine University,34.0396,-118.2661,33.8993,-118.3169,Pepperdine University,34.04106,-118.70828
Anthony Goldwire,"September 6, 1971",West Palm Beach,Florida,Riviera Beach,Florida,University of Houston,26.72,-80.0702,26.78,-80.0672,University of Houston,29.72081,-95.34335
Anthony Grundy,"April 15, 1979",Louisville,Kentucky,Bowling Green,Kentucky,North Carolina State University,38.0858,-85.8495,37.0941,-86.4286,North Carolina State University,36.00153,-78.94001
Anthony Johnson,"October 2, 1974",Charleston,South Carolina,Charleston,South Carolina,College of Charleston,32.9326,-79.9798,32.9326,-79.9798,College of Charleston,32.7838,-79.9373
Anthony Jones,"September 13, 1962",Washington,District of Columbia,Washington,District of Columbia,"University of Nevada, Las Vegas",38.8749,-77.0325,38.8749,-77.0325,"University of Nevada, Las Vegas",36.10775,-115.14167
