"Player","BirthDate","BirthCity","BirthState","HighSchoolCity","HighSchoolState","College","BirthLat","BirthLong","HSLat","HSLong","CollegeNameGood","CollegeLat","CollegeLong","birthCityState","hsCityState","CityCount","HighSchoolCount","CollegeCount","BirthCountry","HighSchoolCountry","BirthContinent","HighSchoolContinent","Team1","Team2","Team3","Team4","Team5","Team6","Team7","Team8","Team9","Team10","Team11","Team12","Team13","Team14","Team15","Team16","Team1_Lat","Team1_Long","Team2_Lat","Team2_Long","Team3_Lat","Team3_Long","Team4_Lat","Team4_Long","Team5_Lat","Team5_Long","Team6_Lat","Team6_Long","Team7_Lat","Team7_Long","Team8_Lat","Team8_Long","Team9_Lat","Team9_Long","Team10_Lat","Team10_Long","Team11_Lat","Team11_Long","Team12_Lat","Team12_Long","Team13_Lat","Team13_Long","Team14_Lat","Team14_Long","Team15_Lat","Team15_Long","Team16_Lat","Team16_Long","FirstYear","LastYear"
"Aaron Williams","October 2, 1971","Evanston","Illinois","Rolling Meadows","Illinois","Xavier University",42.04114,-87.69006,42.08419,-88.01313,"Xavier University",39.14978,-84.478,"Evanston Illinois","Rolling Meadows Illinois",5,1,17,"United States of America","United States of America","Americas","Americas","Salt Lake City Utah","Milwaukee Wisconsin","Denver Colorado","Vancouver Canada","Seattle Washington","Washington District of Columbia","East Rutherford New Jersey","Toronto Canada","Toronto Canada","New Orleans Louisiana","Los Angeles California","","","","","",40.76078,-111.89105,43.0389,-87.90647,39.73915,-104.9847,49.24966,-123.11934,47.60621,-122.33207,38.89511,-77.03637,40.83399,-74.09709,43.70011,-79.4163,43.70011,-79.4163,29.95465,-90.07507,34.05223,-118.24368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1993-94","2007-08"
"Abdul Jeelani","February 10, 1954","Bells","Tennessee","Racine","Wisconsin","University of Wisconsin-Parkside",35.71118,-89.08756,42.72613,-87.78285,"University of Wisconsin-Parkside",42.6476,-87.85514,"Bells Tennessee","Racine Wisconsin",1,4,1,"United States of America","United States of America","Americas","Americas","Portland Oregon","Dallas Texas","","","","","","","","","","","","","","",45.52345,-122.67621,32.78306,-96.80667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1979-80","1980-81"
"Acie Earl","June 23, 1970","Peoria","Illinois","Moline","Illinois","University of Iowa",40.69365,-89.58899,41.5067,-90.51513,"University of Iowa",41.65502,-91.55684,"Peoria Illinois","Moline Illinois",7,2,29,"United States of America","United States of America","Americas","Americas","Boston Massachusetts","Toronto Canada","Toronto Canada","Milwaukee Wisconsin","","","","","","","","","","","","",42.35843,-71.05977,43.70011,-79.4163,43.70011,-79.4163,43.0389,-87.90647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1993-94","1996-97"
"Acie Law","January 25, 1985","Dallas","Texas","Dallas","Texas","Texas A&M University",32.78306,-96.80667,32.78306,-96.80667,"Texas A&M University",30.62798,-96.33441,"Dallas Texas","Dallas Texas",36,32,10,"United States of America","United States of America","Americas","Americas","Atlanta Georgia","Oakland California","Charlotte North Carolina","Chicago Illinois","Memphis Tennessee","Oakland California","","","","","","","","","","",33.749,-84.38798,37.80437,-122.2708,35.22709,-80.84313,41.85003,-87.65005,35.14953,-90.04898,37.80437,-122.2708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-08","2010-11"
"Adam Harrington","July 5, 1980","Bernardston","Massachusetts","Bernardston","Massachusetts","Auburn University",42.67092,-72.54953,42.67092,-72.54953,"Auburn University",32.60208,-85.48495,"Bernardston Massachusetts","Bernardston Massachusetts",1,1,18,"United States of America","United States of America","Americas","Americas","Dallas Texas","Denver Colorado","","","","","","","","","","","","","","",32.78306,-96.80667,39.73915,-104.9847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2002-03","2002-03"
"Adam Keefe","February 22, 1970","Irvine","California","Irvine","California","Stanford University",33.66946,-117.82311,33.66946,-117.82311,"Stanford University",37.42716,-122.17024,"Irvine California","Irvine California",2,2,26,"United States of America","United States of America","Americas","Americas","Atlanta Georgia","Salt Lake City Utah","Oakland California","","","","","","","","","","","","","",33.749,-84.38798,40.76078,-111.89105,37.80437,-122.2708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1992-93","2000-01"
"Adam Morrison","July 19, 1984","Glendive","Montana","Spokane","Washington","Gonzaga University",47.10529,-104.71246,47.65966,-117.42908,"Gonzaga University",47.66573,-117.40244,"Glendive Montana","Spokane Washington",1,2,11,"United States of America","United States of America","Americas","Americas","Charlotte North Carolina","Charlotte North Carolina","Los Angeles California","","","","","","","","","","","","","",35.22709,-80.84313,35.22709,-80.84313,34.05223,-118.24368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-07","2009-10"
"Adonal Foyle","March 9, 1975","Canouan","Saint Vincent and the Grenadines","Hamilton","New York","Colgate University",12.699,-61.3424,43.66112,-74.49736,"Colgate University",42.81729,-75.53573,"Canouan Saint Vincent and the Grenadines","Hamilton New York",1,1,4,"Saint Vincent and the Grenadines","United States of America","Caribbean","Americas","Oakland California","Orlando Florida","Orlando Florida","Memphis Tennessee","","","","","","","","","","","","",37.80437,-122.2708,28.53834,-81.37924,28.53834,-81.37924,35.14953,-90.04898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997-98","2008-09"
"Adonis Jordan","August 21, 1970","New York","New York","Los Angeles","California","University of Kansas",40.71427,-74.00597,34.05223,-118.24368,"University of Kansas",38.8134,-97.60949,"New York New York","Los Angeles California",205,61,60,"United States of America","United States of America","Americas","Americas","Denver Colorado","Milwaukee Wisconsin","","","","","","","","","","","","","","",39.73915,-104.9847,43.0389,-87.90647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1993-94","1998-99"
"Adonis Thomas","March 25, 1993","Memphis","Tennessee","Memphis","Tennessee","University of Memphis",35.14953,-90.04898,35.14953,-90.04898,"University of Memphis",35.1187,-89.93731,"Memphis Tennessee","Memphis Tennessee",33,29,34,"United States of America","United States of America","Americas","Americas","Orlando Florida","Philadelphia Pennsylvania","","","","","","","","","","","","","","",28.53834,-81.37924,39.95234,-75.16379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-14","2013-14"
"Adrian Branch","November 17, 1963","Washington","District of Columbia","Hyattsville","Maryland","University of Maryland",38.89511,-77.03637,38.95594,-76.94553,"University of Maryland",39.32898,-76.62057,"Washington District of Columbia","Hyattsville Maryland",68,18,38,"United States of America","United States of America","Americas","Americas","Los Angeles California","East Rutherford New Jersey","Portland Oregon","Minneapolis Minnesota","","","","","","","","","","","","",34.05223,-118.24368,40.83399,-74.09709,45.52345,-122.67621,44.97997,-93.26384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1986-87","1989-90"
"Adrian Caldwell","July 4, 1966","Marlin","Texas","Corpus Christi","Texas","Lamar University",31.33983,-96.85294,27.80058,-97.39638,"Lamar University",29.87938,-93.92684,"Marlin Texas","Corpus Christi Texas",1,1,3,"United States of America","United States of America","Americas","Americas","Houston Texas","Indianapolis Indiana","East Rutherford New Jersey","Philadelphia Pennsylvania","Dallas Texas","","","","","","","","","","","",29.76328,-95.36327,39.76838,-86.15804,40.83399,-74.09709,39.95234,-75.16379,32.78306,-96.80667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1989-90","1997-98"
"Adrian Dantley","February 28, 1956","Washington","District of Columbia","Hyattsville","Maryland","University of Notre Dame",38.89511,-77.03637,38.95594,-76.94553,"University of Notre Dame",41.7031,-86.23917,"Washington District of Columbia","Hyattsville Maryland",68,18,52,"United States of America","United States of America","Americas","Americas","Buffalo New York","Indianapolis Indiana","Los Angeles California","Salt Lake City Utah","Detroit Michigan","Dallas Texas","Milwaukee Wisconsin","","","","","","","","","",42.88645,-78.87837,39.76838,-86.15804,34.05223,-118.24368,40.76078,-111.89105,42.33143,-83.04575,32.78306,-96.80667,43.0389,-87.90647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1976-77","1990-91"
"Adrian Griffin","July 4, 1974","Wichita","Kansas","Wichita","Kansas","Seton Hall University",37.69224,-97.33754,37.69224,-97.33754,"Seton Hall University",40.7426,-74.24737,"Wichita Kansas","Wichita Kansas",5,8,25,"United States of America","United States of America","Americas","Americas","Boston Massachusetts","Dallas Texas","Houston Texas","Chicago Illinois","Dallas Texas","Chicago Illinois","Chicago Illinois","Seattle Washington","","","","","","","","",42.35843,-71.05977,32.78306,-96.80667,29.76328,-95.36327,41.85003,-87.65005,32.78306,-96.80667,41.85003,-87.65005,41.85003,-87.65005,47.60621,-122.33207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1999-00","2007-08"
"Adrian Smith","October 5, 1936","Farmington","Kentucky","Farmington","Kentucky","University of Kentucky",36.6695,-88.52588,36.6695,-88.52588,"University of Kentucky",38.03036,-84.49938,"Farmington Kentucky","Farmington Kentucky",1,1,82,"United States of America","United States of America","Americas","Americas","Cincinnati Ohio","San Francisco California","Norfolk Virginia","","","","","","","","","","","","","",39.162,-84.45689,37.77493,-122.41942,36.84681,-76.28522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1961-62","1971-72"
"Al-Farouq Aminu","September 21, 1990","Atlanta","Georgia","Norcross","Georgia","Wake Forest University",33.749,-84.38798,33.94121,-84.21353,"Wake Forest University",36.13347,-80.27727,"Atlanta Georgia","Norcross Georgia",35,5,28,"United States of America","United States of America","Americas","Americas","Los Angeles California","New Orleans Louisiana","New Orleans Louisiana","","","","","","","","","","","","","",34.05223,-118.24368,29.95465,-90.07507,29.95465,-90.07507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-11","2013-14"
"Al Attles","November 7, 1936","Newark","New Jersey","Newark","New Jersey","North Carolina Agricultural and Technical State University",40.73566,-74.17237,40.73566,-74.17237,"North Carolina Agricultural and Technical State University",36.07264,-79.79198,"Newark New Jersey","Newark New Jersey",16,16,5,"United States of America","United States of America","Americas","Americas","Philadelphia Pennsylvania","San Francisco California","","","","","","","","","","","","","","",39.95234,-75.16379,37.77493,-122.41942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1960-61","1970-71"
"Al Beard","April 27, 1942","Fort Valley","Georgia","Fort Valley","Georgia","Norfolk State University",32.55376,-83.88741,32.55376,-83.88741,"Norfolk State University",42.3505,-71.1072,"Fort Valley Georgia","Fort Valley Georgia",1,1,5,"United States of America","United States of America","Americas","Americas","East Rutherford New Jersey","","","","","","","","","","","","","","","",40.83399,-74.09709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1967-68","1967-68"
"Al Bianchi","March 26, 1932","New York","New York","none","none","Bowling Green State University",40.71427,-74.00597,NA,NA,"Bowling Green State University",41.37589,-83.63966,"New York New York","none none",205,684,15,"United States of America","none","Americas","none","Syracuse New York","Philadelphia Pennsylvania","","","","","","","","","","","","","","",43.04812,-76.14742,39.95234,-75.16379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1956-57","1965-66"
"Al Brightman","September 22, 1923","none","none","Long Beach","California","University of Charleston",NA,NA,33.76696,-118.18923,"University of Charleston",32.98129,-80.0725,"none none","Long Beach California",677,12,3,"none","United States of America","none","Americas","Boston Massachusetts","","","","","","","","","","","","","","","",42.35843,-71.05977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1946-47","1946-47"
"Al Butler","July 9, 1938","Rochester","New York","Rochester","New York","Niagara University",43.15478,-77.61556,43.15478,-77.61556,"Niagara University",43.13867,-79.03893,"Rochester New York","Rochester New York",10,9,11,"United States of America","United States of America","Americas","Americas","Boston Massachusetts","New York New York","Baltimore Maryland","","","","","","","","","","","","","",42.35843,-71.05977,40.71427,-74.00597,39.29038,-76.61219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1961-62","1964-65"
"Al Carlson","September 17, 1951","Oceanside","California","Garden Grove","California","University of Oregon",33.19587,-117.37948,33.77391,-117.94145,"University of Oregon",44.04598,-123.07046,"Oceanside California","Garden Grove California",1,3,20,"United States of America","United States of America","Americas","Americas","Seattle Washington","","","","","","","","","","","","","","","",47.60621,-122.33207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1975-76","1975-76"
"Al Cervi","February 12, 1917","Buffalo","New York","Buffalo","New York","none",42.88645,-78.87837,42.88645,-78.87837,"",NA,NA,"Buffalo New York","Buffalo New York",13,10,0,"United States of America","United States of America","Americas","Americas","Syracuse New York","","","","","","","","","","","","","","","",43.04812,-76.14742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1949-50","1952-53"
"Al Cueto","August 2, 1946","Havana","Cuba","Coral Gables","Florida","University of Tulsa",23.13302,-82.38304,25.72149,-80.26838,"University of Tulsa",36.15013,-95.94691,"Havana Cuba","Coral Gables Florida",2,1,13,"Cuba","United States of America","Caribbean","Americas","Memphis Tennessee","Memphis Tennessee","","","","","","","","","","","","","","",35.14953,-90.04898,35.14953,-90.04898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1969-70","1970-71"
"Al Eberhard","May 10, 1952","Cedar Rapids","Iowa","Springville","Iowa","University of Missouri",42.00833,-91.64407,42.05945,-91.44267,"University of Missouri",38.94587,-92.32768,"Cedar Rapids Iowa","Springville Iowa",2,1,26,"United States of America","United States of America","Americas","Americas","Detroit Michigan","","","","","","","","","","","","","","","",42.33143,-83.04575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1974-75","1977-78"
"Al Ferrari","July 6, 1933","New York","New York","New York","New York","Michigan State University",40.71427,-74.00597,40.71427,-74.00597,"Michigan State University",42.84031,-84.47982,"New York New York","New York New York",205,209,38,"United States of America","United States of America","Americas","Americas","St. Louis Missouri","St. Louis Missouri","Chicago Illinois","","","","","","","","","","","","","",38.62727,-90.19789,38.62727,-90.19789,41.85003,-87.65005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1955-56","1962-63"
"Al Fleming","April 5, 1954","Chicago","Illinois","none","none","University of Arizona",41.85003,-87.65005,NA,NA,"University of Arizona",32.23188,-110.95347,"Chicago Illinois","none none",118,684,42,"United States of America","none","Americas","none","Seattle Washington","","","","","","","","","","","","","","","",47.60621,-122.33207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1977-78","1977-78"
"Al Guokas","August 7, 1925","none","none","Philadelphia","Pennsylvania","Saint Joseph's University",NA,NA,39.95234,-75.16379,"Saint Joseph's University",41.70522,-86.23597,"none none","Philadelphia Pennsylvania",677,77,18,"none","United States of America","none","Americas","Denver Colorado","Philadelphia Pennsylvania","","","","","","","","","","","","","","",39.73915,-104.9847,39.95234,-75.16379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1949-50","1949-50"
"Al Hairston","December 11, 1945","none","none","Mount Clemens","Michigan","Bowling Green State University",NA,NA,42.59726,-82.87798,"Bowling Green State University",41.37589,-83.63966,"none none","Mount Clemens Michigan",677,1,15,"none","United States of America","none","Americas","Seattle Washington","","","","","","","","","","","","","","","",47.60621,-122.33207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1968-69","1969-70"
"Al Harrington","February 17, 1980","Orange","New Jersey","Elizabeth","New Jersey","none",40.76732,-74.20487,40.66399,-74.2107,"",NA,NA,"Orange New Jersey","Elizabeth New Jersey",4,9,0,"United States of America","United States of America","Americas","Americas","Indianapolis Indiana","Atlanta Georgia","Indianapolis Indiana","Oakland California","New York New York","Denver Colorado","Orlando Florida","Washington District of Columbia","","","","","","","","",39.76838,-86.15804,33.749,-84.38798,39.76838,-86.15804,37.80437,-122.2708,40.71427,-74.00597,39.73915,-104.9847,28.53834,-81.37924,38.89511,-77.03637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1998-99","2013-14"
"Al Henry","February 9, 1949","none","none","Memphis","Tennessee","University of Wisconsin",NA,NA,35.14953,-90.04898,"University of Wisconsin",43.07388,-89.41095,"none none","Memphis Tennessee",677,29,21,"none","United States of America","none","Americas","Philadelphia Pennsylvania","","","","","","","","","","","","","","","",39.95234,-75.16379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970-71","1971-72"
"Al Horford","June 3, 1986","Puerto Plata","Dominican Republic","Grand Ledge","Michigan","University of Florida",19.79344,-70.6884,42.75337,-84.74638,"University of Florida",28.0692,-82.43609,"Puerto Plata Dominican Republic","Grand Ledge Michigan",1,1,25,"Dominican Republic","United States of America","Caribbean","Americas","Atlanta Georgia","","","","","","","","","","","","","","","",33.749,-84.38798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-08","2013-14"
